Date created,Offer SKU,Type,Quantity,Amount
01/01/2025 - 13:07:43,0004555300,Order amount,1,31.19
01/01/2025 - 13:14:40,0004937503,Order amount,1,139.20
01/01/2025 - 13:21:29,0005292600,Order amount,1,31.19
01/01/2025 - 13:23:12,0005295500,Order amount,1,61.59
01/01/2025 - 13:23:12,0004558100,Order amount,1,27.19
01/01/2025 - 13:48:57,0004804100,Order amount,1,39.99
01/01/2025 - 13:48:57,0004505000,Order amount,1,27.19
01/01/2025 - 13:55:51,0005385000,Order amount,1,29.99
01/01/2025 - 13:57:47,0004507700,Order amount,1,29.99
01/01/2025 - 14:03:27,0004132100,Order amount,1,48.23
01/01/2025 - 14:08:40,0005384600,Order amount,1,29.99
01/01/2025 - 14:16:11,0001362205,Order amount,1,139.20
01/01/2025 - 14:20:12,0005310300,Order amount,1,26.99
01/01/2025 - 14:39:19,0004929400,Order amount,1,52.55
01/01/2025 - 14:40:10,0005309300,Order amount,1,35.99
01/01/2025 - 14:41:50,0005308200,Order amount,1,43.99
01/01/2025 - 14:44:40,0004932900,Order amount,1,24.29
01/01/2025 - 14:44:40,0005288800,Order amount,1,10.79
01/01/2025 - 14:44:40,0005204400,Order amount,1,24.47
01/01/2025 - 14:50:01,0004931700,Order amount,1,51.19
01/01/2025 - 14:52:39,0004937504,Order amount,1,139.20
01/01/2025 - 15:00:54,0004929400,Order amount,1,58.39
01/01/2025 - 15:01:25,0005295500,Order amount,1,61.59
01/01/2025 - 15:02:47,0004933400,Order amount,1,26.99
01/01/2025 - 15:02:47,0004933800,Order amount,1,26.99
01/01/2025 - 15:04:38,0004861304,Order amount,1,148.59
01/01/2025 - 15:04:50,0004930500,Order amount,1,32.39
01/01/2025 - 15:06:47,0005294500,Order amount,1,52.79
01/01/2025 - 15:17:57,0004787100,Order amount,1,27.19
01/01/2025 - 15:17:57,0004525500,Order amount,1,22.39
01/01/2025 - 15:19:44,0005203500,Order amount,1,27.19
01/01/2025 - 15:20:55,0005292500,Order amount,1,31.19
01/01/2025 - 15:21:57,0005294200,Order amount,1,70.39
01/01/2025 - 15:24:58,0005310300,Order amount,1,26.99
01/01/2025 - 15:28:13,0005068100,Order amount,1,44.79
01/01/2025 - 15:30:03,0005254604,Order amount,1,178.87
01/01/2025 - 15:30:37,0005292600,Order amount,1,31.19
01/01/2025 - 15:31:52,0005204500,Order amount,1,27.19
01/01/2025 - 15:35:51,0004976206,Order amount,1,138.39
01/01/2025 - 15:36:56,0004888102,Order amount,1,114.59
01/01/2025 - 15:40:10,0005293200,Order amount,1,31.19
01/01/2025 - 15:40:10,0005293000,Order amount,1,31.19
01/01/2025 - 15:45:31,0005295100,Order amount,1,70.39
01/01/2025 - 15:45:31,0005294500,Order amount,1,52.79
01/01/2025 - 15:46:12,0005384600,Order amount,1,29.99
01/01/2025 - 15:46:48,0005384800,Order amount,1,29.99
01/01/2025 - 15:46:48,0005288900,Order amount,1,11.99
01/01/2025 - 15:48:29,0005310300,Order amount,1,26.99
01/01/2025 - 15:50:26,0005169900,Order amount,1,35.99
01/01/2025 - 15:53:20,0004929100,Order amount,1,57.59
01/01/2025 - 16:05:33,0001440902,Order amount,1,98.44
01/01/2025 - 16:07:37,0002304300,Order amount,1,70.39
01/01/2025 - 16:12:15,0005303004,Order amount,1,135.20
01/01/2025 - 16:22:43,0005384600,Order amount,1,29.99
01/01/2025 - 16:23:33,0005202600,Order amount,1,27.19
01/01/2025 - 16:26:27,0005384600,Order amount,1,29.99
01/01/2025 - 16:33:26,0004933000,Order amount,1,26.99
01/01/2025 - 16:38:00,0005384100,Order amount,1,29.99
01/01/2025 - 16:38:20,0005292500,Order amount,1,31.19
01/01/2025 - 16:38:20,0005383700,Order amount,1,29.99
01/01/2025 - 16:41:32,0005269900,Order amount,1,49.99
01/01/2025 - 16:44:35,0004931100,Order amount,1,39.99
01/01/2025 - 16:54:42,0004804100,Order amount,1,39.99
01/01/2025 - 16:55:16,0004170103,Order amount,1,148.59
01/01/2025 - 16:55:16,0004270203,Order amount,1,148.59
01/01/2025 - 16:55:16,0004949503,Order amount,1,158.79
01/01/2025 - 16:55:16,0004977403,Order amount,1,138.39
01/01/2025 - 16:55:16,0001463703,Order amount,1,89.60
01/01/2025 - 17:14:19,0005346900,Order amount,1,49.59
01/01/2025 - 17:14:31,0005384600,Order amount,1,26.99
01/01/2025 - 17:14:31,0004286100,Order amount,1,22.31
01/01/2025 - 17:15:42,0005292600,Order amount,1,31.19
01/01/2025 - 17:17:35,0004866103,Order amount,1,148.59
01/01/2025 - 17:20:57,0001464907,Order amount,1,89.60
01/01/2025 - 17:23:13,0005326900,Order amount,1,39.99
01/01/2025 - 17:28:26,0005384600,Order amount,1,29.99
01/01/2025 - 17:30:00,0005203600,Order amount,1,27.19
01/01/2025 - 17:30:46,0005389002,Order amount,1,143.20
01/01/2025 - 17:30:46,0005389003,Order amount,1,143.20
01/01/2025 - 17:31:31,0005384600,Order amount,1,29.99
01/01/2025 - 17:34:09,0005354006,Order amount,1,116.64
01/01/2025 - 17:39:47,0004374100,Order amount,1,27.99
01/01/2025 - 17:48:36,0005384600,Order amount,1,29.99
01/01/2025 - 17:53:22,0003934700,Order amount,1,27.19
01/01/2025 - 17:55:08,0005384800,Order amount,1,29.99
01/01/2025 - 17:59:59,0005310300,Order amount,1,26.99
01/01/2025 - 18:04:23,0005320607,Order amount,1,139.20
01/01/2025 - 18:05:41,0001457705,Order amount,1,138.39
01/01/2025 - 18:06:41,0004786700,Order amount,1,27.19
01/01/2025 - 18:06:52,0005383500,Order amount,1,39.99
01/01/2025 - 18:12:15,0004286100,Order amount,1,24.79
01/01/2025 - 18:13:04,0004142307,Order amount,1,139.68
01/01/2025 - 18:14:16,0005309300,Order amount,1,39.99
01/01/2025 - 18:14:42,0005310300,Order amount,1,26.99
01/01/2025 - 18:14:58,0001464903,Order amount,1,80.64
01/01/2025 - 18:17:42,0005269900,Order amount,1,49.99
01/01/2025 - 18:18:53,0005309400,Order amount,1,39.99
01/01/2025 - 18:21:01,0005270000,Order amount,1,49.99
01/01/2025 - 18:21:58,0005292600,Order amount,1,31.19
01/01/2025 - 18:23:33,0004936006,Order amount,1,139.20
01/01/2025 - 18:24:49,0005384600,Order amount,1,29.99
01/01/2025 - 18:26:12,0005326300,Order amount,1,39.99
01/01/2025 - 18:26:12,0005269500,Order amount,1,49.99
01/01/2025 - 18:26:12,0005309500,Order amount,1,39.99
01/01/2025 - 18:26:12,0005383300,Order amount,1,39.99
01/01/2025 - 18:27:31,0005289600,Order amount,1,11.99
01/01/2025 - 18:27:31,0005289800,Order amount,1,11.99
01/01/2025 - 18:30:04,0005308700,Order amount,1,39.99
01/01/2025 - 18:31:01,0004931700,Order amount,1,46.07
01/01/2025 - 18:42:05,0005308800,Order amount,1,39.99
01/01/2025 - 18:43:47,0005384600,Order amount,1,29.99
01/01/2025 - 18:49:01,0005296400,Order amount,1,61.59
01/01/2025 - 18:49:30,0005308700,Order amount,1,35.99
01/01/2025 - 18:53:23,0005384600,Order amount,1,29.99
01/01/2025 - 18:54:45,0005194905,Order amount,1,99.99
01/01/2025 - 18:57:00,0004955902,Order amount,1,38.39
01/01/2025 - 18:58:23,0004037900,Order amount,1,19.99
01/01/2025 - 19:03:43,0001366403,Order amount,1,149.60
01/01/2025 - 19:04:52,0005326500,Order amount,1,39.99
01/01/2025 - 19:14:12,0004934400,Order amount,1,35.19
01/01/2025 - 19:16:54,0005292500,Order amount,1,31.19
01/01/2025 - 19:22:55,0001883804,Order amount,1,83.99
01/01/2025 - 19:27:16,0004930200,Order amount,1,35.99
01/01/2025 - 19:28:15,0004507700,Order amount,1,29.99
01/01/2025 - 19:31:43,0001903600,Order amount,1,23.99
01/01/2025 - 19:48:41,0005384800,Order amount,1,29.99
01/01/2025 - 19:49:22,0004931800,Order amount,1,51.19
01/01/2025 - 19:50:09,0005383700,Order amount,1,27.00
01/01/2025 - 19:56:32,0004929000,Order amount,1,57.59
01/01/2025 - 20:05:01,0001606605,Order amount,1,119.69
01/01/2025 - 20:06:09,0004524700,Order amount,1,27.19
01/01/2025 - 20:15:05,0001606604,Order amount,1,149.61
01/01/2025 - 20:15:33,0001883806,Order amount,1,83.99
01/01/2025 - 20:23:19,0005203500,Order amount,1,27.19
01/01/2025 - 20:36:00,0001456502,Order amount,1,124.00
01/01/2025 - 20:38:31,0005270400,Order amount,1,44.99
01/01/2025 - 20:41:44,0005203500,Order amount,1,27.19
01/01/2025 - 20:43:06,0005203500,Order amount,1,27.19
01/01/2025 - 20:48:32,0005270100,Order amount,1,49.99
01/01/2025 - 20:51:20,0004524700,Order amount,1,27.19
01/01/2025 - 20:54:03,0004791800,Order amount,1,28.79
01/01/2025 - 20:57:43,0005310300,Order amount,1,26.99
01/01/2025 - 21:01:02,0005269900,Order amount,1,49.99
01/01/2025 - 21:02:05,0001023600,Order amount,1,23.99
01/01/2025 - 21:08:17,0005292100,Order amount,1,35.99
01/01/2025 - 21:10:20,0005269500,Order amount,1,49.99
01/01/2025 - 21:10:20,0004287900,Order amount,1,19.19
01/01/2025 - 21:20:17,0004927500,Order amount,1,55.99
01/01/2025 - 21:21:13,0004804100,Order amount,1,39.99
01/01/2025 - 21:38:28,0004530600,Order amount,1,18.99
01/01/2025 - 21:53:30,0005293000,Order amount,1,31.19
01/01/2025 - 21:53:41,0005204400,Order amount,1,27.19
01/01/2025 - 21:56:02,0005050800,Order amount,1,22.39
01/01/2025 - 22:02:17,0005057200,Order amount,1,27.19
01/01/2025 - 22:02:20,0004928300,Order amount,1,49.59
01/01/2025 - 22:12:50,0004786700,Order amount,1,27.19
01/01/2025 - 22:16:57,0004861302,Order amount,1,148.59
01/01/2025 - 22:26:33,0000085100,Order amount,1,23.99
01/01/2025 - 22:29:16,0005292500,Order amount,1,28.07
01/01/2025 - 22:46:57,0005293700,Order amount,1,70.39
01/01/2025 - 22:46:58,0000852900,Order amount,1,27.19
01/01/2025 - 22:46:58,0004931700,Order amount,1,51.19
01/01/2025 - 22:49:11,0005384600,Order amount,1,29.99
01/01/2025 - 22:49:42,0004929400,Order amount,1,58.39
01/01/2025 - 22:49:42,0004927500,Order amount,1,55.99
01/01/2025 - 22:50:52,0005051400,Order amount,1,22.39
01/01/2025 - 22:52:46,0005052800,Order amount,1,49.59
01/01/2025 - 23:00:54,0005269900,Order amount,1,49.99
01/01/2025 - 23:06:04,0005292600,Order amount,1,31.19
01/01/2025 - 23:09:34,0005310300,Order amount,1,24.29
01/01/2025 - 23:16:01,0005204400,Order amount,1,24.47
01/01/2025 - 23:30:13,0005288800,Order amount,1,11.99
01/01/2025 - 23:30:58,0005295000,Order amount,1,70.39
01/01/2025 - 23:33:59,0004928500,Order amount,1,49.59
01/01/2025 - 23:36:35,0005290600,Order amount,1,10.79
01/01/2025 - 23:54:05,0005385000,Order amount,1,29.99
01/01/2025 - 23:56:28,0005384600,Order amount,1,26.99
02/01/2025 - 00:00:24,0005383300,Order amount,1,39.99
02/01/2025 - 00:26:18,0004807506,Order amount,1,109.99
02/01/2025 - 00:26:18,0004806306,Order amount,1,109.00
02/01/2025 - 00:26:18,0004727905,Order amount,1,136.86
02/01/2025 - 00:49:22,0004555300,Order amount,2,62.38
02/01/2025 - 00:53:18,0005288800,Order amount,1,11.99
02/01/2025 - 01:16:29,0001604203,Order amount,1,119.69
02/01/2025 - 01:16:29,0001863403,Order amount,1,89.60
02/01/2025 - 01:20:27,0004148800,Order amount,1,58.39
02/01/2025 - 01:38:42,0005326900,Order amount,1,39.99
02/01/2025 - 01:58:46,0005194906,Order amount,1,89.99
02/01/2025 - 01:58:46,0003857700,Order amount,1,33.83
02/01/2025 - 02:50:14,0004933000,Order amount,1,26.99
02/01/2025 - 03:14:57,0005202800,Order amount,1,27.19
02/01/2025 - 03:14:57,0005202600,Order amount,1,27.19
02/01/2025 - 04:39:40,0004673700,Order amount,1,19.19
02/01/2025 - 06:41:06,0004929000,Order amount,1,57.59
02/01/2025 - 06:54:33,0001863405,Order amount,1,80.64
02/01/2025 - 07:05:31,0004673700,Order amount,1,19.19
02/01/2025 - 07:08:21,0005384600,Order amount,1,29.99
02/01/2025 - 08:11:03,0003851100,Order amount,1,56.00
02/01/2025 - 08:22:56,0001464906,Order amount,1,89.60
02/01/2025 - 08:30:17,0005205100,Order amount,1,27.19
02/01/2025 - 08:37:58,0005292600,Order amount,1,31.19
02/01/2025 - 08:38:23,0005292100,Order amount,1,35.99
02/01/2025 - 08:39:08,0005297600,Order amount,1,31.19
02/01/2025 - 08:53:25,0005309600,Order amount,1,39.99
02/01/2025 - 08:55:15,0000391506,Order amount,1,129.04
02/01/2025 - 08:55:25,0005384600,Order amount,1,29.99
02/01/2025 - 09:35:03,0005292500,Order amount,1,31.19
02/01/2025 - 09:35:03,0005292600,Order amount,1,31.19
02/01/2025 - 09:35:03,0004929400,Order amount,1,58.39
02/01/2025 - 09:38:52,0005194906,Order amount,1,99.99
02/01/2025 - 09:42:31,0001023600,Order amount,1,23.99
02/01/2025 - 09:44:08,0001902800,Order amount,1,29.64
02/01/2025 - 09:54:19,0004327904,Order amount,1,179.00
02/01/2025 - 09:55:33,0005053800,Order amount,1,62.39
02/01/2025 - 10:11:38,0005269900,Order amount,1,49.99
02/01/2025 - 10:13:22,0005384600,Order amount,1,26.99
02/01/2025 - 10:16:45,0004795200,Order amount refund,1,-23.99
02/01/2025 - 10:17:41,0005204400,Order amount,1,27.19
02/01/2025 - 10:17:41,0005204000,Order amount,1,27.19
02/01/2025 - 10:18:18,0005220505,Order amount,1,149.60
02/01/2025 - 10:18:21,0005294500,Order amount,1,52.79
02/01/2025 - 10:19:17,0005068100,Order amount,1,44.79
02/01/2025 - 10:19:26,0005205000,Order amount,1,27.19
02/01/2025 - 10:20:09,0004508200,Order amount refund,1,-35.99
02/01/2025 - 10:26:24,0005289500,Order amount,1,11.99
02/01/2025 - 10:30:04,0004529000,Order amount,1,38.39
02/01/2025 - 10:30:04,0004413800,Order amount,1,42.39
02/01/2025 - 10:34:32,0005197303,Order amount refund,1,-99.20
02/01/2025 - 10:38:40,0004934400,Order amount refund,1,-37.39
02/01/2025 - 10:38:40,0004927900,Order amount refund,1,-59.49
02/01/2025 - 10:44:15,0005310300,Order amount,1,26.99
02/01/2025 - 10:44:58,0002080404,Order amount,1,138.39
02/01/2025 - 10:45:42,0005204400,Order amount refund,1,-23.11
02/01/2025 - 10:45:42,0005347000,Order amount refund,1,-42.15
02/01/2025 - 10:50:32,0005308300,Order amount refund,1,-43.99
02/01/2025 - 10:56:38,0004936006,Order amount refund,1,-147.90
02/01/2025 - 10:57:07,0005384600,Order amount,1,29.99
02/01/2025 - 10:59:43,0005308700,Order amount,1,39.99
02/01/2025 - 10:59:46,0004471800,Order amount refund,1,-99.44
02/01/2025 - 11:04:22,0004786700,Order amount,1,27.19
02/01/2025 - 11:08:22,0005169900,Order amount,1,35.99
02/01/2025 - 11:09:50,0005056400,Order amount refund,1,-89.59
02/01/2025 - 11:11:53,0005310300,Order amount,1,26.99
02/01/2025 - 11:12:52,0005203600,Order amount,1,27.19
02/01/2025 - 11:13:36,0005384600,Order amount,1,29.99
02/01/2025 - 11:13:52,0005366502,Order amount,1,79.99
02/01/2025 - 11:14:28,0005385000,Order amount,1,29.99
02/01/2025 - 11:17:48,0001440904,Order amount,1,88.60
02/01/2025 - 11:23:58,0005292100,Order amount,1,35.99
02/01/2025 - 11:26:32,0004786700,Order amount,1,27.19
02/01/2025 - 11:29:36,0005292600,Order amount,1,31.19
02/01/2025 - 11:30:19,0001902800,Order amount,1,32.93
02/01/2025 - 11:40:10,0005300500,Order amount,1,70.39
02/01/2025 - 11:40:39,0005203500,Order amount,1,27.19
02/01/2025 - 11:44:09,0005050800,Order amount,1,22.39
02/01/2025 - 11:54:53,0005301802,Order amount,1,135.20
02/01/2025 - 11:57:02,0004437900,Order amount,1,23.99
02/01/2025 - 11:57:02,0004898200,Order amount,2,23.98
02/01/2025 - 11:57:02,0004898500,Order amount,1,11.99
02/01/2025 - 11:57:02,0004898100,Order amount,1,11.99
02/01/2025 - 11:57:02,0004898300,Order amount,1,11.99
02/01/2025 - 11:57:02,0004898400,Order amount,1,11.99
02/01/2025 - 11:57:02,0004786700,Order amount,1,27.19
02/01/2025 - 12:01:23,0005385000,Order amount,1,29.99
02/01/2025 - 12:01:59,0005301802,Order amount,1,135.20
02/01/2025 - 12:11:35,0004928900,Order amount,1,57.59
02/01/2025 - 12:16:23,0005285000,Order amount,1,103.99
02/01/2025 - 12:18:17,0004525700,Order amount refund,1,-23.79
02/01/2025 - 12:20:28,0005310300,Order amount,1,26.99
02/01/2025 - 12:21:31,0004929400,Order amount refund,1,-58.39
02/01/2025 - 12:22:55,0005251004,Order amount,1,178.34
02/01/2025 - 12:25:26,0005384600,Order amount,1,29.99
02/01/2025 - 12:26:22,0004932900,Order amount,1,24.29
02/01/2025 - 12:26:57,0005310300,Order amount,1,26.99
02/01/2025 - 12:35:17,0005383500,Order amount,1,39.99
02/01/2025 - 12:35:48,0005194905,Order amount,1,89.99
02/01/2025 - 12:37:35,0004523700,Order amount,1,31.99
02/01/2025 - 12:39:31,0004555500,Order amount,1,31.19
02/01/2025 - 12:42:30,0004929300,Order amount refund,1,-72.99
02/01/2025 - 12:44:39,0005269600,Order amount,1,44.99
02/01/2025 - 12:44:39,0005269500,Order amount,1,44.99
02/01/2025 - 12:45:51,0005297400,Order amount refund,1,-33.14
02/01/2025 - 12:49:23,0004927400,Order amount refund,1,-35.99
02/01/2025 - 12:52:00,0003857700,Order amount,1,37.59
02/01/2025 - 12:53:45,0004508400,Order amount,1,29.99
02/01/2025 - 12:53:45,0004509200,Order amount,1,29.99
02/01/2025 - 12:53:45,0004505000,Order amount,1,27.19
02/01/2025 - 12:53:52,0003851400,Order amount refund,1,-96.00
02/01/2025 - 12:57:11,0005383900,Order amount,1,29.99
02/01/2025 - 12:57:55,0005308700,Order amount refund,1,-39.94
02/01/2025 - 13:00:46,0003934800,Order amount,1,27.19
02/01/2025 - 13:03:46,0004931000,Order amount,1,66.39
02/01/2025 - 13:04:54,0005194901,Order amount,1,99.99
02/01/2025 - 13:13:17,0004524900,Order amount,1,27.19
02/01/2025 - 13:26:16,0005283409,Order amount,1,181.60
02/01/2025 - 13:36:54,0004934400,Order amount,1,35.19
02/01/2025 - 13:37:02,0003938403,Order amount,1,38.39
02/01/2025 - 13:39:06,0005309300,Order amount,1,39.99
02/01/2025 - 13:39:06,0004524700,Order amount,1,27.19
02/01/2025 - 13:42:53,0005296800,Order amount,1,31.19
02/01/2025 - 13:43:53,0005294100,Order amount,1,67.19
02/01/2025 - 13:51:20,0004925300,Order amount refund,1,-49.59
02/01/2025 - 13:52:32,0005299005,Order amount refund,1,-93.19
02/01/2025 - 13:54:36,0004270206,Order amount,1,148.59
02/01/2025 - 13:56:31,0005309300,Order amount,1,39.99
02/01/2025 - 13:58:12,0004931100,Order amount,1,39.99
02/01/2025 - 14:01:47,0004931700,Order amount,1,51.19
02/01/2025 - 14:09:32,0004929400,Order amount,1,58.39
02/01/2025 - 14:11:45,0001023600,Order amount,1,21.59
02/01/2025 - 14:25:36,0004953407,Order amount refund,1,-139.20
02/01/2025 - 14:26:09,0005289100,Order amount,1,11.99
02/01/2025 - 14:26:29,0001902800,Order amount,1,32.93
02/01/2025 - 14:26:42,0004929000,Order amount,1,57.59
02/01/2025 - 14:33:08,0005203500,Order amount,1,27.19
02/01/2025 - 14:39:31,0005292500,Order amount,1,31.19
02/01/2025 - 14:45:19,0001838205,Order amount,1,83.99
02/01/2025 - 14:47:51,0005203100,Order amount,1,27.19
02/01/2025 - 14:48:01,0004509100,Order amount,1,29.99
02/01/2025 - 14:50:34,0005215104,Order amount,1,138.39
02/01/2025 - 14:53:48,0004927800,Order amount,1,55.99
02/01/2025 - 14:54:30,0005293000,Order amount,1,31.19
02/01/2025 - 14:55:16,0005269600,Order amount,1,49.99
02/01/2025 - 14:57:13,0005205900,Order amount,1,27.19
02/01/2025 - 15:02:31,0004928500,Order amount,1,49.59
02/01/2025 - 15:19:41,0005290400,Order amount,1,11.99
02/01/2025 - 15:22:33,0005056300,Order amount,1,89.59
02/01/2025 - 15:23:53,0005292200,Order amount,1,35.99
02/01/2025 - 15:23:53,0005292100,Order amount,1,35.99
02/01/2025 - 15:26:20,0005292100,Order amount,1,35.99
02/01/2025 - 15:27:33,0004890503,Order amount refund,1,-115.20
02/01/2025 - 15:37:04,0005203500,Order amount,1,27.19
02/01/2025 - 15:38:21,0003521104,Order amount,1,38.39
02/01/2025 - 15:38:21,0003525801,Order amount,1,38.39
02/01/2025 - 15:48:47,0005309400,Order amount,1,39.99
02/01/2025 - 15:50:57,0005190109,Order amount refund,1,-134.29
02/01/2025 - 15:51:23,0003743000,Order amount,1,47.99
02/01/2025 - 15:52:30,0005310300,Order amount,1,26.99
02/01/2025 - 15:52:43,0004555300,Order amount,1,31.19
02/01/2025 - 15:55:03,0005320604,Order amount refund,1,-139.20
02/01/2025 - 15:55:23,0005308200,Order amount,1,43.99
02/01/2025 - 15:56:08,0004933500,Order amount,1,26.99
02/01/2025 - 16:00:36,0004348405,Order amount refund,1,-135.20
02/01/2025 - 16:01:09,0004508400,Order amount,1,29.99
02/01/2025 - 16:01:30,0004525100,Order amount,1,27.19
02/01/2025 - 16:05:43,0004786700,Order amount,1,27.19
02/01/2025 - 16:06:13,0005384800,Order amount,1,29.99
02/01/2025 - 16:09:29,0005308700,Order amount,1,39.99
02/01/2025 - 16:09:29,0005383300,Order amount,1,39.99
02/01/2025 - 16:13:10,0005292500,Order amount,1,31.19
02/01/2025 - 16:21:08,0005294600,Order amount,1,52.79
02/01/2025 - 16:46:30,0004507600,Order amount refund,1,-31.87
02/01/2025 - 16:48:32,0000072400,Order amount refund,1,-34.99
02/01/2025 - 16:52:10,0003923001,Order amount refund,1,-38.39
02/01/2025 - 16:54:13,0005270100,Order amount,1,49.99
02/01/2025 - 16:54:31,0005384600,Order amount,1,29.99
02/01/2025 - 16:54:58,0003525801,Order amount refund,1,-40.79
02/01/2025 - 16:57:56,0005384500,Order amount,1,29.99
02/01/2025 - 16:58:23,0004804100,Order amount,1,39.99
02/01/2025 - 17:06:19,0004508400,Order amount,1,26.99
02/01/2025 - 17:07:38,0005310300,Order amount refund,1,-28.68
02/01/2025 - 17:07:40,0005203500,Order amount,1,27.19
02/01/2025 - 17:07:57,0005310300,Order amount,1,26.99
02/01/2025 - 17:11:38,0004195900,Order amount refund,2,-149.98
02/01/2025 - 17:14:51,0005068400,Order amount,1,27.19
02/01/2025 - 17:16:07,0005194901,Order amount refund,1,-99.20
02/01/2025 - 17:16:21,0004523700,Order amount,1,31.99
02/01/2025 - 17:19:52,0004931700,Order amount,1,51.19
